,Bahan
578,"['sawi putih', 'ampela', 'bakso', 'merica bubuk', 'daun bawang', 'kemiri', 'hijau', 'paha ayam', 'kekian', 'bawang merah', 'wortel', 'bawang putih', 'sawi', 'ati']"
579,"['keju cheddar', 'cokelat', 'vanili', 'tepung roti', 'tepung terigu', 'roti tawar', 'putih', 'tawar', 'pisang', 'tepung maizena', 'susu', 'saus']"
580,"['tepung terigu', 'bubuk', 'telur', 'putih telur', 'santan', 'kuning telur', 'cream of tartar', 'cokelat']"
581,"['tepung terigu', 'kacang tanah', 'telur', 'tepung tapioka', 'bawang putih']"
582,"['lada bubuk', 'saus tiram', 'kecap asin', 'kecap manis', 'kecap inggris', 'bawang bombay', 'margarin', 'daging sapi']"
583,"['tauge', 'kol', 'asam jawa', 'jeruk nipis', 'cabai merah', 'cabai rawit', 'tahu kuning', 'timun', 'mie kuning', 'merah']"
584,"['plain', 'biji selasih', 'jelly', 'bubuk', 'naga', 'jeruk nipis', 'warna', 'merah']"
585,"['ketumbar bubuk', 'cabai rawit merah', 'dada ayam', 'lengkuas', 'daun salam', 'cabai merah', 'kemiri', 'bawang putih', 'bawang merah', 'kencur']"
586,"['tepung maizena', 'tepung terigu', 'bayam', 'telur', 'pala bubuk', 'merica bubuk', 'putih telur', 'ayam', 'bawang putih', 'bawang bombay', 'wortel', 'giling']"
587,"['bawang merah', 'daun kunyit', 'daun jeruk', 'daun salam', 'asam kandis', 'tepung beras', 'bawang putih', 'sate', 'serai', 'daging sapi']"
588,"['lada', 'sosis', 'telur', 'mie', 'daun bawang', 'bawang putih', 'margarin']"
589,"['cabai merah keriting', 'ayam', 'lengkuas', 'daun salam', 'sambal', 'cabai merah', 'kunyit', 'kemiri', 'putih', 'bawang putih', 'bawang merah', 'serai', 'kencur']"
590,"['lengkuas', 'daun salam', 'jahe', 'kemiri', 'kunyit', 'paha ayam', 'bawang putih', 'bawang merah', 'ketumbar']"
591,"['sukade', 'tepung maizena', 'vanili', 'tepung terigu', 'kering', 'bubuk', 'susu bubuk', 'butter', 'buah cherry', 'margarin']"
592,"['kelapa', 'daun pandan', 'daun pisang', 'beras ketan putih', 'putih', 'aren']"
593,"['tepung sagu', 'vanili', 'bubuk', 'telur', 'labu kuning', 'kue', 'santan', 'talam', 'tepung beras']"
594,"['tepung sagu', 'muda', 'tepung ketan putih', 'kelapa', 'kuning', 'daun pandan', 'santan', 'warna', 'hijau', 'merah']"
595,"['sate', 'lada bubuk', 'tepung terigu', 'telur', 'tepung tapioka', 'bawang putih', 'bawang merah', 'ikan tenggiri']"
596,"['lada bubuk', 'pala bubuk', 'jahe', 'daun bawang', 'tomat', 'seledri', 'bawang putih', 'wortel', 'ceker ayam']"
597,"['bawang merah', 'kelapa muda', 'kacang', 'cabai rawit', 'kunyit', 'bawang putih', 'sate', 'saus', 'ketumbar', 'daging sapi']"
598,"['cabai rawit merah', 'cabai merah keriting', 'asam jawa', 'lengkuas', 'jeruk nipis', 'kunyit', 'nanas', 'bawang putih', 'bawang merah', 'serai', 'ikan tenggiri', 'mata']"
599,"['wijen', 'daging sapi', 'tepung terigu', 'saus tiram', 'kecap asin', 'daun bawang', 'ayam', 'tepung tapioka', 'udang', 'cuka', 'didih']"
600,"['tepung sagu', 'baking powder', 'kuning telur', 'merah', 'pisang kepok', 'tepung beras']"
601,"['cabai hijau', 'ikan kakap', 'jeruk nipis', 'santan', 'cabai merah', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
602,"['bawang merah', 'ayam', 'kayu manis', 'pala bubuk', 'cengkeh', 'beras', 'bawang bombay', 'serai', 'merica', 'kapulaga', 'margarin']"
603,"['sayur', 'daun jeruk', 'serai', 'kerupuk', 'daun salam', 'masak', 'lengkuas', 'santan', 'merah', 'bawang putih', 'bawang merah', 'krecek', 'kentang', 'kapri']"
604,"['daging sapi', 'ayam', 'kaldu jamur bubuk', 'kangkung', 'daun jeruk', 'saus tiram', 'lengkuas', 'kecap', 'daun bawang', 'paha', 'ayam', 'mie kuning']"
605,"['pasta', 'tepung terigu', 'hela', 'bubuk', 'daun jeruk', 'lengkuas', 'jahe', 'kari', 'bawang putih', 'bawang merah', 'serai', 'daging sapi', 'giling', 'bawang bombay']"
606,"['cabai merah keriting', 'kering', 'kayu manis', 'santan', 'jahe', 'kemiri', 'bawang merah', 'kentang', 'kapulaga', 'biji', 'bunga lawang', 'cengkeh', 'serai', 'kelapa', 'cabai merah', 'daun kari', 'kental', 'bubuk kari', 'daging kambing', 'kunyit', 'bunga lawang', 'bawang putih']"
607,"['tepung maizena', 'tepung terigu', 'cream cheese', 'butter', 'putih telur', 'warna', 'kuning telur', 'coklat bubuk', 'merah', 'susu']"
608,"['daun selada', 'tahu putih', 'kacang tanah', 'kol', 'telur', 'daun salam', 'santan', 'timun', 'merah', 'mie kuning', 'kentang', 'buncis', 'kerupuk merah', 'kulit']"
609,"['tepung sagu', 'jamur kuping', 'saus tiram', 'soun', 'tulang ayam', 'putih telur', 'daun bawang', 'ayam', 'udang', 'bawang putih', 'merica']"
610,"['kelapa', 'daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'jeruk nipis', 'santan', 'cabai merah', 'kemiri', 'ikan bawal', 'bawang putih', 'bawang merah', 'serai']"
611,"['tepung ketan', 'wijen', 'baking soda', 'santan', 'kuning telur', 'baking powder', 'tepung kanji']"
612,"['baking soda', 'tani', 'kulit pangsit', 'putih telur', 'tahu kulit', 'tepung tapioka', 'ayam', 'bawang putih', 'batu', 'sagu', 'lemak', 'giling', 'baking powder', 'daging sapi']"
613,"['mentega', 'ayam', 'merica bubuk', 'kecap manis', 'kecap inggris', 'bawang putih', 'bawang bombay']"
614,"['bakso', 'pala bubuk', 'merica bubuk', 'makaroni', 'jahe', 'daun bawang', 'ayam', 'seledri', 'bawang putih', 'bawang merah', 'wortel', 'kentang']"
615,"['cabai rawit merah', 'lada bubuk', 'daun kemangi', 'daun jeruk', 'daun salam', 'jeruk nipis', 'jahe', 'kunyit', 'putih', 'ikan bawal', 'bawang putih', 'tomat', 'serai']"
616,"['tepung ketan', 'essens', 'vanilla', 'telur', 'margarin', 'tepung beras']"
617,"['sedap', 'tepung sagu', 'daging sapi', 'bawang putih', 'ikan tenggiri']"
618,"['bombay', 'lada bubuk', 'tepung terigu', 'kaldu ayam', 'bubuk', 'ayam', 'bawang putih', 'kentang', 'susu']"
619,"['bawang merah', 'lada bubuk', 'saus tiram', 'daun salam', 'terong', 'cabai merah', 'kemiri', 'bawang putih', 'ungu', 'serai', 'merah']"
620,"['babat sapi', 'saus tiram', 'daun jeruk', 'serai', 'lengkuas', 'daun salam', 'cabai rawit', 'jahe', 'kecap manis', 'tomat', 'biar', 'merah']"
621,"['muda', 'jambu biji', 'jeruk nipis', 'biji', 'cabai rawit', 'mangga', 'timun', 'nanas', 'merah', 'kedondong']"
622,"['wijen', 'tepung maizena', 'kering', 'ayam', 'tepung terigu', 'jeruk nipis', 'biji', 'daun bawang', 'putih', 'bawang putih', 'merica', 'susu']"
623,"['wijen', 'ayam', 'kaldu', 'jeruk nipis', 'jahe', 'daun bawang', 'beras', 'seledri', 'paha ayam', 'bawang putih', 'merica', 'rebusan']"
624,"['cabai rawit merah', 'muda', 'daun pepaya', 'mengkal', 'asam jawa', 'lengkuas', 'jahe', 'lemak sapi', 'tomat', 'bawang putih', 'bawang merah', 'merah', 'daging sapi']"
625,"['tepung terigu', 'ragi', 'telur', 'susu bubuk', 'butter', 'kuning telur', 'margarin', 'susu']"
626,"['kaldu jamur', 'ayam', 'beras ketan', 'tuna', 'kaleng', 'beras', 'cabai', 'bawang putih', 'bawang bombay', 'nori', 'mayonaise', 'bon', 'merica']"
627,"['tepung maizena', 'tepung terigu', 'kuning', 'kue', 'santan', 'warna', 'tepung beras', 'pisang tanduk', 'talam', 'kental']"
628,"['kelapa', 'daun jeruk', 'daun pandan', 'cabai merah', 'beras ketan putih', 'bawang putih', 'bawang merah']"
629,"['tepung terigu', 'ragi', 'kuning telur', 'margarin', 'susu']"
630,"['bawang merah', 'muda', 'kelapa', 'daun jeruk', 'nangka', 'lengkuas', 'daun salam', 'cabai merah', 'cabai rawit', 'daun melinjo', 'kemiri', 'nasi putih', 'bawang putih', 'kencur', 'bunga kecombrang']"
631,"['muda', 'wijen', 'lada', 'saus tiram', 'kecap', 'biji', 'cabai merah', 'jahe', 'baby buncis', 'putih', 'hitam', 'bawang putih', 'buncis', 'margarin', 'daging giling']"
632,"['tepung maizena', 'lemon', 'tepung terigu', 'cream cheese', 'butter', 'putih telur', 'kuning telur', 'kastor', 'kulit']"
633,"['saus tiram', 'jeruk nipis', 'cabai merah', 'daun bawang', 'ikan kerapu', 'bawang putih', 'bawang bombay', 'tepung maizena', 'saus tomat']"
634,"['kering', 'sunti', 'cabai keriting', 'daun', 'cabai merah', 'jahe', 'daun kari', 'hijau', 'asam', 'bawang putih', 'bawang merah', 'serai', 'ikan tongkol']"
635,"['tepung ketan', 'vanili', 'susu bubuk', 'putih', 'hitam', 'emulsifier']"
636,"['daun jeruk', 'lengkuas', 'jeruk nipis', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'bebek', 'ketumbar']"
637,"['lada bubuk', 'caisim', 'kering', 'bawang', 'mie', 'putih telur', 'tepung tapioka', 'bawang putih', 'giling', 'daging sapi']"
638,"['terasi', 'tauge', 'cabai merah keriting', 'kangkung', 'daun jeruk', 'kacang', 'bawang putih', 'bawang merah', 'kencur']"
639,"['muda', 'saus tiram', 'cabai rawit hijau', 'kecap manis', 'jahe', 'biji', 'udang', 'bawang putih', 'margarin']"
640,"['lada bubuk', 'tauge', 'tauco', 'telur', 'daun salam', 'oncom', 'mie', 'lontong', 'kecap manis', 'daun bawang', 'serai', 'manis']"
641,"['bawang merah', 'kering', 'kol', 'telur', 'dada ayam', 'soun', 'merica bubuk', 'daun bawang', 'kaldu bubuk', 'bawang putih', 'sawi', 'lunak']"
642,"['terasi', 'petai', 'daun jeruk', 'lengkuas', 'santan', 'cabai merah', 'kepala', 'kemiri', 'biji', 'udang', 'bawang putih', 'bawang merah', 'serai']"
643,"['terasi', 'kelapa', 'sandung lamur', 'santan', 'cabai rawit', 'daun melinjo', 'jinten', 'bawang putih', 'bawang merah', 'kluwek', 'jawa', 'merica', 'ketumbar', 'daging sapi']"
644,"['daun kemangi', 'cabai rawit merah', 'belimbing wuluh', 'daun jeruk', 'ikan peda', 'lengkuas', 'daun salam', 'daun pisang', 'tomat hijau', 'daun', 'cabai merah', 'daun bawang', 'singkong', 'serai', 'merah']"
645,"['kacang hijau', 'tepung sagu', 'tepung terigu', 'daun pandan', 'santan', 'tepung beras', 'merah', 'kental']"
646,"['baking powder', 'vanili', 'tepung terigu', 'susu kental manis', 'telur', 'whipping', 'susu', 'susu evaporasi']"
647,"['lidah buaya', 'lemon', 'sirup', 'melon', 'kapur sirih', 'batu', 'biji selasih']"
648,"['bawang merah', 'cabai merah keriting', 'jeruk nipis', 'cabai rawit', 'jahe', 'kunyit', 'bawang putih', 'ikan lele', 'merah', 'ketumbar']"
649,"['daun jeruk', 'lengkuas', 'daun salam', 'jeruk nipis', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'bebek']"
650,"['merica', 'misoa', 'telur', 'jahe', 'bakso sapi', 'daun bawang', 'seledri', 'udang', 'bawang putih', 'bawang merah', 'paha ayam', 'punggung']"
651,"['tauge', 'tahu putih', 'saus tiram', 'lontong', 'daun bawang', 'seledri', 'kaldu bubuk', 'bawang merah', 'bawang putih']"
652,"['terasi', 'ketumbar', 'bawang putih', 'beras ketan']"
653,"['santan', 'daun pandan', 'pisang kepok', 'labu']"
654,"['cabai rawit merah', 'terasi', 'asam jawa', 'daun', 'cabai merah', 'ubi jalar', 'bawang merah', 'merah']"
655,"['telur ayam', 'daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'kecap manis', 'kunyit', 'kemiri', 'bawang merah', 'kulit', 'petis', 'merah']"
656,"['mentega', 'tepung terigu', 'ragi', 'kuning telur', 'tawar', 'susu']"
657,"['kelapa', 'paru sapi', 'daun jeruk', 'lengkuas', 'daun salam', 'jeruk nipis', 'santan', 'kunyit', 'bawang merah', 'serai', 'ketumbar']"
658,"['tepung terigu', 'baking soda', 'susu kental manis', 'keju', 'butter', 'telur', 'kacang', 'meises']"
659,"['madu', 'lada', 'saus sambal', 'keju', 'saus tomat', 'sayap ayam', 'bawang putih', 'barbeque', 'ketumbar', 'saus']"
660,"['daun jeruk', 'daun salam', 'jeruk nipis', 'santan', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'ikan tenggiri', 'merica']"
661,"['ayam kampung', 'daun jeruk', 'lengkuas', 'daun salam', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'merica']"
662,"['jahe', 'kacang kedelai']"
663,"['nanas', 'kayu manis']"
664,"['has', 'jamur', 'merica', 'bawang', 'seafood', 'bakso', 'rawit', 'tulang ayam', 'kecap asin', 'daun', 'jahe', 'hijau', 'putih', 'bawang putih', 'merah', 'sawi', 'daging sapi']"
665,"['tepung sagu', 'saus tiram', 'dada ayam', 'kulit pangsit', 'merica bubuk', 'bawang putih bubuk', 'daun bawang', 'udang', 'rekat']"
666,"['kacang tanah', 'cabai merah keriting', 'daun jeruk', 'daun salam', 'jahe', 'bawang putih', 'serai', 'kerang dara', 'saus tomat']"
667,"['iga sapi', 'sandung lamur', 'daun jeruk', 'daun salam', 'kayu manis', 'santan', 'bunga lawang', 'cengkeh', 'serai', 'jawa', 'kapulaga', 'daging sapi']"
668,"['cokelat', 'susu kental manis', 'bubuk', 'whipping cream', 'coklat bubuk', 'susu uht']"
669,"['bawang bombay', 'lada', 'kol', 'dada ayam', 'lengkuas', 'daun salam', 'cabai rawit', 'kecap manis', 'tomat', 'bawang putih', 'bawang merah']"
670,"['daun jeruk', 'lengkuas', 'daun salam', 'babat', 'santan', 'biji', 'daun bawang', 'cengkeh', 'tomat', 'kaldu bubuk', 'serai', 'merica', 'kapulaga', 'kental']"
671,"['tepung tapioka', 'serbaguna', 'tepung terigu']"
672,"['susu kental manis', 'daun pandan', 'santan', 'warna', 'tepung tapioka', 'batu', 'tepung beras']"
673,"['daun kemangi', 'bawang merah', 'ampela', 'daun jeruk', 'daun salam', 'daun', 'cabai merah', 'cabai rawit', 'kemiri', 'bawang putih', 'nasi putih', 'serai', 'ati']"
674,"['lemon', 'pasta', 'tepung terigu', 'pasta coklat', 'telur', 'butter', 'kastor', 'coklat bubuk', 'kulit', 'susu uht', 'baking powder']"
675,"['timun suri', 'sirup', 'cocopandan']"
676,"['sirup', 'alpukat', 'susu kental manis', 'jelly', 'kaleng', 'vanila', 'putih', 'batu', 'mutiara']"
677,"['tepung terigu', 'daging sapi', 'telur', 'dada ayam', 'daun pandan', 'daun salam', 'lengkuas', 'santan', 'ketan', 'giling']"
678,"['lada', 'kaldu jamur', 'cabai bubuk', 'ayam', 'kaldu ayam', 'bubuk', 'telur', 'jeruk nipis', 'mustard', 'jahe', 'thyme', 'basil', 'putih', 'hitam', 'cuka', 'paprika', 'oregano']"
679,"['bawang merah', 'lengkuas', 'daun salam', 'jahe', 'kemiri', 'kunyit', 'putih', 'merah', 'asam', 'bawang putih', 'serai', 'bebek']"
680,"['lada', 'wijen', 'daging sapi', 'dada ayam', 'putih telur', 'kecap ikan', 'tepung tapioka', 'bawang putih', 'bawang merah', 'kaldu bubuk']"
681,"['lada', 'putih telur', 'tepung tapioka', 'batu', 'daging sapi']"
682,"['lada bubuk', 'tepung tapioka', 'daging ikan', 'putih telur']"
683,"['tepung sagu', 'udang', 'putih telur']"
684,"['has', 'wijen', 'tepung maizena', 'kering', 'saus tiram', 'telur', 'kecap asin', 'mie', 'merica bubuk', 'kecap manis', 'jahe', 'bakso sapi', 'bawang putih', 'bawang bombay', 'daging sapi']"
685,"['lada bubuk', 'muda', 'rebung', 'lengkuas', 'daun salam', 'santan', 'cabai merah', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai']"
686,"['vanili', 'tepung terigu', 'telur', 'pisang ambon', 'kacang mede', 'margarin', 'baking powder']"
687,"['keju cheddar', 'mentega', 'tepung terigu', 'butter', 'susu bubuk', 'keju edam', 'kuning telur']"
688,"['daun jeruk', 'daun salam', 'jeruk nipis', 'santan', 'asam kandis', 'sate', 'serai', 'merah', 'merica', 'cumi', 'kental']"
689,"['tepung sagu', 'keju', 'ungu', 'ubi kuning', 'baking powder']"
690,"['tepung sagu', 'daun pandan', 'santan', 'ubi orange', 'merah', 'kental']"
691,"['cabai merah', 'petis', 'tahu putih', 'bawang putih']"
692,"['saus sambal', 'jeruk nipis', 'ikan salem', 'cabai merah', 'kepala', 'jahe', 'biji', 'tomat', 'bawang putih', 'bawang merah', 'merah', 'saus tomat']"
693,"['daun kunyit', 'sayur', 'daun jeruk', 'lengkuas', 'daun salam', 'ebi', 'santan', 'daun', 'asam kandis', 'udang', 'bawang putih', 'merica', 'pakis']"
694,"['saus tiram', 'merica', 'cumi cumi', 'punggung', 'mie', 'cabai merah', 'jahe', 'daun bawang', 'kecap manis', 'hijau', 'udang', 'bawang putih', 'sawi']"
695,"['muda', 'ayam kampung', 'daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'ketumbar']"
696,"['ayam', 'asam jawa', 'jeruk nipis', 'kecap manis', 'cabai merah', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'merah', 'kencur']"
697,"['daun kunyit', 'ayam', 'daun jeruk', 'daun salam', 'jeruk nipis', 'santan', 'asam kandis', 'bawang putih', 'serai', 'merah', 'merica', 'kental']"
698,"['kelapa', 'ayam', 'asam jawa', 'lengkuas', 'kecap manis', 'jahe', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'kaldu bubuk', 'merah']"
699,"['wijen', 'margarine', 'paprika hijau', 'ayam', 'kecap asin', 'paprika merah', 'kecap manis', 'kecap inggris', 'hitam', 'bawang putih', 'merah', 'merica']"
700,"['meses', 'tepung maizena', 'kacang', 'powder', 'milo', 'batu', 'chocolate', 'dark', 'susu']"
701,"['kiwi', 'sirup', 'bubuk', 'nata de coco', 'melon', 'warna', 'batu', 'merah', 'baller', 'biji selasih']"
702,"['madu', 'full', 'soda kue', 'telur', 'susu bubuk', 'cream', 'cokelat', 'susu']"
703,"['cabai rawit merah', 'cabai merah keriting', 'daun jeruk', 'lengkuas', 'daun salam', 'biji', 'cabai merah', 'kapur sirih', 'bawang merah', 'kentang', 'merah', 'tempe']"
704,"['kapri', 'tepung roti', 'jamur kuping', 'kaldu ayam', 'telur', 'lunak', 'pala bubuk', 'merica bubuk', 'daun pisang', 'ayam', 'hitam', 'bawang bombay', 'tepung roti', 'giling', 'susu', 'bunga kol']"
705,"['tepung terigu', 'bubuk', 'butter', 'churros', 'telur', 'green tea', 'hitam', 'merah', 'coklat bubuk', 'tepung maizena', 'cokelat', 'susu']"
706,"['tepung ketan', 'kelapa', 'daun pisang', 'santan', 'warna', 'hijau', 'merah']"
707,"['bawang merah', 'daun jeruk', 'lengkuas', 'daun salam', 'santan', 'jahe', 'kaldu bubuk', 'bawang putih', 'jeroan', 'daging sapi']"
708,"['petai', 'daun jeruk', 'jeruk nipis', 'cabai merah', 'udang', 'bawang putih', 'bawang merah']"
709,"['cabai keriting', 'asam jawa', 'jeruk nipis', 'kecap manis', 'jahe', 'bawang putih', 'bawang merah', 'ikan lele', 'ketumbar']"
710,"['tepung terigu', 'telur', 'kue', 'jagung', 'santan', 'tepung tapioka', 'talam']"
711,"['sayur', 'teriyaki', 'kecap manis', 'ikan salmon', 'saus']"
712,"['muda', 'daun kunyit', 'sayur', 'mengoreng', 'lengkuas', 'ikan asin', 'jahe', 'kunyit', 'cabai', 'bawang putih', 'bawang merah', 'giling', 'tepung beras']"
713,"['tepung maizena', 'saus tiram', 'bawang putih', 'pakcoy']"
714,"['bawang merah', 'lada bubuk', 'daging sapi', 'telur', 'masak', 'kecap manis', 'daun bawang', 'rendang', 'nasi putih', 'bawang putih', 'arik', 'bawang bombay']"
715,"['tepung sagu', 'wijen', 'tepung terigu', 'telur', 'daun bawang', 'ayam', 'udang', 'bawang putih', 'bawang bombay', 'margarin', 'giling']"
716,"['pasta coklat', 'tepung terigu', 'emulsifier', 'vanilla', 'susu bubuk', 'tepung maizena', 'serbaguna', 'baking powder']"
717,"['bawang merah', 'bawang', 'telur', 'cabai merah', 'seledri', 'bawang putih', 'nasi putih']"
718,"['telur ayam', 'tepung maizena', 'pasta', 'susu bubuk', 'cokelat', 'margarin', 'emulsifier', 'baking powder']"
719,"['tepung terigu', 'telur', 'pisang raja', 'pasak', 'margarin', 'baking powder']"
720,"['tepung terigu', 'telur', 'ebi', 'jeruk nipis', 'santan', 'kemiri', 'udang', 'bawang putih', 'bawang merah', 'mie kuning', 'merica', 'kulit']"
721,"['sisakan', 'belimbing wuluh', 'biar', 'daun jeruk', 'jeruk nipis', 'santan', 'cabai rawit', 'kepala', 'belimbing wuluh', 'daun bawang', 'daun pisang', 'udang', 'bawang putih', 'bawang merah', 'kulit', 'cabai merah', 'kental']"
722,"['madu', 'jeruk nipis', 'kecap manis', 'jahe', 'kunyit', 'ikan bawal', 'bawang putih', 'ketumbar']"
723,"['wijen', 'tahu putih', 'ayam', 'saus tiram', 'kaldu ayam', 'ebi', 'kecap manis', 'daun bawang', 'cengkeh', 'bawang putih', 'bawang merah', 'merica']"
724,"['sandung lamur', 'daun jeruk', 'lengkuas', 'daun salam', 'tempe', 'daun bawang', 'bawang putih', 'bawang merah', 'serai', 'semangit', 'ketumbar', 'daging sapi']"
725,"['terasi', 'lada', 'ayam', 'daun jeruk', 'jeruk limau', 'jeruk nipis', 'cabai rawit', 'putih', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
726,"['tepung maizena', 'tahu putih', 'tepung terigu', 'cabai rawit', 'kaldu bubuk', 'bawang putih']"
727,"['saus tiram', 'kangkung', 'lengkuas', 'daun salam', 'ebi', 'kecap', 'cabai merah', 'bawang putih', 'bawang bombay', 'tauco', 'merica']"
728,"['cabai merah keriting', 'iga sapi', 'asam jawa', 'daun salam', 'kecap manis', 'cabai rawit', 'nanas', 'tomat', 'serai', 'daun kemangi', 'kaldu sapi', 'kental']"
729,"['keju cheddar', 'susu kental manis', 'jagung', 'manis', 'margarin', 'susu']"
730,"['saus tiram', 'kangkung', 'cabai hijau', 'lengkuas', 'daun salam', 'cabai merah', 'tomat', 'bawang putih', 'bawang merah']"
731,"['tepung maizena', 'cooking', 'tepung terigu', 'susu bubuk', 'butter', 'masak', 'putih telur', 'sprinkle', 'warna', 'warni', 'dark', 'chocolate', 'cokelat', 'margarin']"
732,"['mentega', 'soda kue', 'tepung terigu', 'telur', 'margarin', 'baking powder']"
733,"['bawang merah', 'acar', 'kol', 'jeruk nipis', 'daging kambing', 'kecap manis', 'cabai rawit', 'timun', 'tomat', 'sate', 'merah', 'merica', 'ketumbar']"
734,"['tepung terigu', 'tepung tapioka', 'kacang tanah', 'bawang putih']"
735,"['kelapa', 'ayam', 'asam jawa', 'lengkuas', 'sambal', 'jeruk nipis', 'kecap manis', 'bawang putih', 'bawang merah', 'merah', 'ketumbar']"
736,"['estrak', 'jambu', 'susu kental manis', 'nutella', 'kaleng', 'vanila', 'mambo', 'batu', 'cokelat', 'lilin', 'susu']"
737,"['cabai rawit merah', 'wijen', 'saus tiram', 'saus sambal', 'cabai merah keriting', 'saus tomat', 'kecap asin', 'cabai merah', 'kecap manis', 'palem', 'bunga lawang', 'bawang putih', 'bawang merah', 'ceker ayam']"
738,"['cabai rawit merah', 'terasi', 'cabai merah keriting', 'tahu', 'kunyit', 'paha ayam', 'bawang putih', 'bawang merah', 'ketumbar', 'tempe']"
739,"['tepung maizena', 'kacang tanah', 'daun jeruk', 'kemiri', 'bawang putih', 'kaldu bubuk', 'ketumbar', 'tepung beras']"
740,"['daun pandan', 'santan', 'merah', 'pisang kepok', 'kental']"
741,"['tepung sagu', 'asam jawa', 'tani', 'putih telur', 'cabai rawit hijau', 'bawang putih', 'ikan tenggiri']"
742,"['tepung sagu', 'lada', 'tepung terigu', 'telur', 'asam jawa', 'ebi', 'cabai rawit', 'daun bawang', 'cuko', 'bawang putih', 'aren', 'kulit', 'ikan tenggiri', 'baking powder']"
743,"['sedap', 'tepung sagu', 'telur', 'putih telur', 'ikan tenggiri', 'merah']"
744,"['tepung sagu', 'lada', 'santan', 'cabai rawit', 'daun bawang', 'bawang putih', 'bawang merah', 'aren', 'ikan tenggiri', 'kental']"
745,"['tepung sagu', 'lada', 'daun pisang', 'santan', 'daun bawang', 'bawang putih', 'bawang merah', 'ikan tenggiri', 'kental']"
746,"['cabai merah keriting', 'tauco', 'daun jeruk', 'daun salam', 'biji', 'kecap manis', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'daging sapi']"
747,"['ayam', 'daun jeruk', 'daun salam', 'jeruk nipis', 'jahe', 'kunyit', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
748,"['vanili', 'tepung terigu', 'bubuk', 'telur', 'santan', 'tepung tapioka', 'margarin', 'kental']"
749,"['baking powder', 'sosis', 'tepung terigu', 'jagung', 'sate', 'tawar', 'susu']"
750,"['lada', 'tepung terigu', 'kaldu ayam', 'ikan kakap', 'telur', 'cabai merah', 'daun bawang', 'tomat', 'nanas', 'kaldu bubuk', 'tepung maizena', 'merah', 'tepung beras']"
751,"['lada bubuk', 'has', 'lada', 'wijen', 'saus tiram', 'daging sapi', 'kecap asin', 'kecap manis', 'hitam', 'bawang putih', 'bawang bombay']"
752,"['ikan tongkol', 'kering', 'cabai keriting', 'daun jeruk', 'lengkuas', 'santan', 'cabai rawit', 'jahe', 'kunyit', 'putih', 'bawang putih', 'bawang merah', 'serai', 'kental']"
753,"['cabai rawit merah', 'tepung maizena', 'tepung terigu', 'dada ayam', 'kaldu ayam bubuk', 'bawang putih', 'baking powder']"
754,"['cabai rawit merah', 'terasi', 'cabai merah keriting', 'ayam kampung', 'daun jeruk', 'lengkuas', 'daun salam', 'jeruk limau', 'jahe', 'kemiri', 'kunyit', 'tomat', 'bawang putih', 'bawang merah', 'merah', 'ketumbar']"
755,"['asam jawa', 'lengkuas', 'daun salam', 'jeruk nipis', 'ikan kembung', 'cabai merah', 'biji', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'jawa']"
756,"['nasi', 'wijen', 'saus tiram', 'bakso', 'telur', 'dada ayam', 'jagung', 'kecap asin', 'daun bawang', 'udang', 'bawang putih', 'kacang polong', 'saus tomat']"
757,"['sumedangtahu', 'dada ayam', 'pongtahu', 'tahu', 'daun bawang', 'tepung tapioka', 'kaldu ayam bubuk', 'bawang putih', 'kulit', 'merica', 'giling']"
758,"['lada bubuk', 'cabai merah keriting', 'ikan bandeng', 'daun jeruk', 'daun salam', 'jeruk nipis', 'kecap manis', 'bawang putih', 'bawang merah', 'serai']"
759,"['lada bubuk', 'tepung maizena', 'saus tiram', 'tepung terigu', 'putih telur', 'bawang putih bubuk', 'paha', 'ayam', 'kaldu bubuk']"
760,"['saus tiram', 'telur', 'tulang ayam', 'mie', 'merica bubuk', 'kecap manis', 'jamur kancing', 'daun bawang', 'hijau', 'bawang putih', 'sawi']"
761,"['lada bubuk', 'tahu putih', 'kaldu ayam', 'bubuk', 'telur', 'daun', 'bawang putih', 'singkong', 'ketumbar']"
762,"['daun seledri', 'lada bubuk', 'daun jeruk', 'lengkuas', 'jahe', 'daun bawang', 'kaldu ayam bubuk', 'bawang putih', 'bawang merah', 'serai', 'ceker ayam']"
