,Bahan
101,"['saus tiram', 'ayam', 'kecap asin', 'merica bubuk', 'kecap manis', 'jahe', 'kecap inggris', 'tomat', 'bawang putih', 'bawang merah']"
102,"['cooking', 'vanili', 'tepung terigu', 'pasta coklat', 'susu kental manis', 'telur', 'kacang kenari', 'dark', 'chocolatos', 'cokelat', 'baking powder']"
103,"['meses', 'cooking', 'vanili', 'tepung terigu', 'pasta coklat', 'soda kue', 'susu kental manis', 'telur', 'sp', 'dark', 'chocolatos', 'cokelat', 'baking powder']"
104,"['tepung terigu', 'tulang rangu', 'cabai merah keriting', 'kaldu', 'tetelan sapi', 'merica bubuk', 'daun bawang', 'tepung tapioka', 'hijau', 'kaldu bubuk', 'bawang putih']"
105,"['madu', 'jeruk nipis', 'merica bubuk', 'sayap ayam', 'jintan', 'bawang putih', 'kaldu bubuk', 'ketumbar']"
106,"['cabai rawit merah', 'daun jeruk', 'lengkuas', 'daun salam', 'jeruk nipis', 'ikan kembung', 'merica bubuk', 'daun bawang', 'kaldu bubuk', 'serai']"
107,"['lalap', 'tepung terigu', 'lengkuas', 'sambal', 'jeruk nipis', 'jahe', 'kunyit', 'bawang putih', 'ikan mujair', 'ketumbar']"
108,"['bubuk kari', 'tahu putih', 'kering', 'kaldu ayam', 'kaldu jamur bubuk', 'telur', 'bawang putih bubuk', 'daun bawang', 'tepung', 'serbaguna']"
109,"['tepung', 'serbaguna', 'mie']"
110,"['tepung terigu', 'soda kue', 'baking soda', 'bubuk', 'telur', 'tepung tapioka', 'margarin', 'vanilli', 'baking powder']"
111,"['kol', 'daun jeruk', 'kecap', 'daun salam', 'kayu manis', 'daging kambing', 'pala bubuk', 'bunga lawang', 'cengkeh', 'merah', 'kapulaga']"
112,"['ikan mas', 'cabai merah keriting', 'jeruk limau', 'sambal', 'jeruk nipis', 'kecap manis', 'kunyit', 'kemiri', 'tomat', 'bawang putih', 'bawang merah', 'ketumbar']"
113,"['ikan mas', 'cabai rawit merah', 'daun jeruk', 'lengkuas', 'daun salam', 'jeruk nipis', 'merica bubuk', 'kaldu bubuk', 'bawang merah', 'serai']"
114,"['cabai merah keriting', 'daun jeruk', 'bubuk', 'daun salam', 'kaldu sapi', 'asam kandis', 'tomat', 'bawang putih', 'bawang merah', 'serai', 'merah', 'giling', 'daging sapi']"
115,"['bawang merah', 'cabai rawit merah', 'daun jeruk', 'daun salam', 'terong', 'cabai merah', 'tomat', 'kaldu bubuk', 'ungu', 'serai', 'bawang putih']"
116,"['tepung terigu', 'terong', 'merica bubuk', 'kaldu ayam bubuk', 'tepung beras']"
117,"['kelapa', 'asam jawa', 'lengkuas', 'daun salam', 'bawang putih', 'bawang merah', 'merah', 'ketumbar', 'daging sapi']"
118,"['tepung terigu', 'cabai merah keriting', 'ikan bandeng', 'saus sambal', 'saus tiram', 'jeruk nipis', 'tomat hijau', 'kecap manis', 'jahe', 'bawang putih', 'bawang bombay', 'saus tomat']"
119,"['cabai rawit merah', 'ikan bandeng', 'instant', 'daun salam', 'jeruk nipis', 'santan', 'daun pisang', 'daun bawang', 'tomat', 'serai', 'daun kemangi', 'kental']"
