,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
5263,daun kemangi,merica bubuk,256,827,3,-0.04472403910927866
44769,keju cheddar,kentang,212,333,1,-0.04508295292659085
7822,acar,kaldu bubuk,127,556,1,-0.04530956898330822
33802,ayam kampung,tomat,190,1487,4,-0.04559984577488511
40357,kental,sambal,366,193,1,-0.04567771058038636
54398,bawang merah,bunga kol,4710,15,1,-0.04584757638680799
23286,bawang merah,kecambah,4710,15,1,-0.04584757638680799
65425,bawang merah,kecoklatan,4710,15,1,-0.04584757638680799
2068,bawang merah,kaldu jamur bubuk,4710,15,1,-0.04584757638680799
12416,bawang merah,kerupuk udang,4710,15,1,-0.04584757638680799
36914,bawang merah,kerupuk merah,4710,30,2,-0.04584757638680799
47776,bawang merah,untum,4710,15,1,-0.04584757638680799
4579,bawang bombay,tomat hijau,1442,147,3,-0.04596080422965557
14065,bawang bombay,ragi,1442,98,2,-0.04596080422965557
43101,biji,pala bubuk,581,365,3,-0.04639001004042752
15698,jeruk nipis,terasi,836,592,7,-0.046579287187528524
4605,ikan bandeng,santan,80,1768,2,-0.046837885585659524
40382,ijo,santan,40,1768,1,-0.046837885585659524
31793,lengkuas,tepung beras,575,369,3,-0.046908584443902446
27,ayam,kunyit,1727,1065,26,-0.047128806542856554
35214,hela,merah,139,1527,3,-0.047276137955349046
59382,asin,tepung maizena,76,931,1,-0.04734680583753272
16277,cabai,wortel,216,983,3,-0.04762942743735639
7716,manis,udang,86,823,1,-0.04765768520471205
37475,ayam,kaldu ayam bubuk,1727,164,4,-0.048067333125120904
18570,ayam,tepung kanji,1727,41,1,-0.048067333125120904
17753,cokelat,kacang tanah,334,212,1,-0.0480814559228474
46847,jagung,sedap,252,281,1,-0.04813794511930357
54222,cabai,tempe,216,328,1,-0.04864620434244332
21520,daun jeruk,merica,1506,988,21,-0.04872685665841821
60443,asin,saus tiram,76,933,1,-0.04949272940780949
31987,bawang,nasi putih,307,231,1,-0.04961964638312527
7291,beras,saus,353,201,1,-0.050127153266507095
65750,asam jawa,palem,710,100,1,-0.05078934429758704
2126,dada ayam,seledri,388,366,2,-0.050845680738828926
22594,kapulaga,tomat,191,1487,4,-0.050849201661028874
23867,daging sapi,daun pisang,1037,137,2,-0.051275141771841455
8244,batu,kelapa,290,490,2,-0.05149332179938125
6946,daun jeruk,lada bubuk,1506,519,11,-0.051575207001491506
44240,kecap ikan,saus tomat,138,515,1,-0.051774774095075395
18780,kol,tepung terigu,212,2348,7,-0.05234949483882071
2284,kayu manis,saus sambal,319,223,1,-0.05271706251909783
47004,ketumbar,masak,434,164,1,-0.05326515019873786
2998,margarin,muda,664,322,3,-0.05457559462686699
30657,keju,tepung sagu,180,396,1,-0.0547252504188255
1917,kacang,tepung terigu,243,2348,8,-0.055293270882834124
30112,daun pandan,giling,506,141,1,-0.055650747939768375
22747,jeruk,kunyit,67,1065,1,-0.05577688580862608
36893,kemiri,seledri,780,366,4,-0.05598708023924753
8230,kentang,tomat,288,1487,6,-0.05607114564218052
2182,ayam,lada,1727,496,12,-0.056164543357740335
3569,daun jeruk,kecap manis,1506,996,21,-0.056791416495148656
56847,daun salam,telur puyuh,1460,98,2,-0.05836620108714322
46677,jagung,kol,252,284,1,-0.05875751394676389
25463,cabai rawit merah,ketumbar bubuk,582,123,1,-0.059008991377989796
56709,kelapa,tomat hijau,487,147,1,-0.059050898135460626
63972,bubuk,spaghetti,995,72,1,-0.05976304444878259
41108,daun bawang,telur puyuh,1463,98,2,-0.06041888740488543
4033,daun bawang,daun salam,1463,980,20,-0.06041888740488543
8769,alpukat,wijen,111,646,1,-0.06068389336907055
15228,kacang tanah,santan,284,1768,7,-0.06102252057761595
2687,cabai rawit,tepung sagu,1087,396,6,-0.061185817421769505
14311,baking soda,daun bawang,125,574,1,-0.06129732189600206
16611,daun pandan,putih,506,709,5,-0.06130847165962715
7837,bakso,telur,233,2156,7,-0.06149242481340958
3995,ketumbar,merica bubuk,434,827,5,-0.061765504964130274
16745,daun jeruk,kaldu jamur,1506,143,3,-0.061798938225771
19102,merica,tepung tapioka,446,483,3,-0.06207750527866161
22440,bawang bombay,telur ayam,1442,299,6,-0.06282461028166035
18271,bawang putih,paru,6536,11,1,-0.06333009761234386
12225,bawang putih,ikan cakalang,6536,22,2,-0.06333009761234386
49309,bawang putih,melinjo merah,6536,11,1,-0.06333009761234386
66356,bawang putih,samin,6536,11,1,-0.06333009761234386
7250,bawang putih,kertas,6536,11,1,-0.06333009761234386
11246,bawang putih,rice noodles,6536,11,1,-0.06333009761234386
6643,bawang putih,puyuh,6536,11,1,-0.06333009761234386
2684,bawang putih,sambal terasi,6536,33,3,-0.06333009761234386
11450,bawang putih,paprika merah,6536,55,5,-0.06333009761234386
48231,bawang putih,pipih,6536,33,3,-0.06333009761234386
38650,bawang putih,tau,6536,22,2,-0.06333009761234386
1091,bawang putih,teri medan,6536,55,5,-0.06333009761234386
